"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YA5VPQXW","journalArticle","2015","Carey, G.; Malbon, E.; Carey, N.; Joyce, A.; Crammond, B.; Carey, A.","Systems science and systems thinking for public health: A systematic review of the field","BMJ Open","","2044-6055","10.1136/bmjopen-2015-009002","","Objectives: This paper reports on findings from a systematic review designed to investigate the state of systems science research in public health. The objectives were to: (1) explore how systems methodologies are being applied within public health and (2) identify fruitful areas of activity. Design: A systematic review was conducted from existing literature that draws on or uses systems science (in its various forms) and relates to key public health areas of action and concern, including tobacco, alcohol, obesity and the social determinants of health. Data analysis: 117 articles were included in the review. An inductive qualitative content analysis was used for data extraction. The following were systematically extracted from the articles: approach, methodology, transparency, strengths and weaknesses. These were then organised according to theme (ie, commonalities between studies within each category), in order to provide an overview of the state of the field as a whole. The assessment of data quality was intrinsic to the goals of the review itself, and therefore, was carried out as part of the analysis. Results: 4 categories of research were identified from the review, ranging from editorial and commentary pieces to complex system dynamic modelling. Our analysis of each of these categories of research highlighted areas of potential for systems science to strengthen public health efforts, while also revealing a number of limitations in the dynamic systems modelling being carried out in public health. Conclusions: There is a great deal of interest in how the application of systems concepts and approach might aid public health. Our analysis suggests that soft systems modelling techniques are likely to be the most useful addition to public health, and align well with current debate around knowledge transfer and policy. However, the full range of systems methodologies is yet to be engaged with by public health researchers.","2015","2023-01-17 12:05:37","2023-01-17 12:05:37","","","","12","5","","","Systems science and systems thinking for public health","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\Papa ours\Zotero\storage\VTT3W2XK\Carey et al. - 2015 - Systems science and systems thinking for public he.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTNIH8HQ","journalArticle","2015","Carlson, V.; Chilton, M.J.; Corso, L.C.; Beitsch, L.M.","Defining the functions of public health governance","American Journal of Public Health","","0090-0036","10.2105/AJPH.2014.302198","","We conducted a literature review in 2011 to determine if accepted governance functions continue to reflect the role of public health governing entities. Reviewing literature and other source documents, as well as consulting with practitioners, resulted in an iterative process that identified 6 functions of public health governance and established definitions for each of these: policy development; resource stewardship; continuous improvement; partner engagement; legal authority; and oversight of a health department. These functions provided context for the role of governing entities in public health practice and aligned well with existing public health accreditation standards. Public health systems research can build from this work in future explorations of the contributions of governance to health department performance.","2015","2023-01-17 12:05:37","2023-01-17 23:13:45","","S159-S166","","","105","","","","","","","","","","English","","","Scopus","","Scopus","","","","; C:\Users\Papa ours\Zotero\storage\NT4NJQIT\Carlson et al. - 2015 - Defining the functions of public health governance.pdf","http://www.ncbi.nlm.nih.gov/pubmed/25689187","","Humans; Policy; United States; Organizational Objectives; Public Health Administration; Public Health Practice; Research; Cooperative Behavior; Government Regulation; Interinstitutional Relations; Quality Improvement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RI9VBS9R","journalArticle","2009","Carter-Pokras, Olivia; Bethune, Lisa","Defining and measuring acculturation: a systematic review of public health studies with Hispanic populations in the United States. A commentary on Thomson and Hoffman-Goetz","Social Science & Medicine (1982)","","1873-5347","10.1016/j.socscimed.2009.06.042","","","2009-10","2023-01-17 12:05:37","2023-01-17 12:05:37","","992-995; discussion 999-1001","","7","69","","Soc Sci Med","Defining and measuring acculturation","","","","","","","eng","","","","","PubMed","","PMID: 19631433","","","http://www.ncbi.nlm.nih.gov/pubmed/19631433","","Humans; Public Health; United States; Health Status Disparities; Acculturation; Databases as Topic; Emigrants and Immigrants; Hispanic or Latino; Language; Reproducibility of Results; Review Literature as Topic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKTR2IHY","journalArticle","2004","Chapman, J.L.; Shaw, S.; Carter, Y.H.; Petchey, R.","Public health capacity in the new primary care organizations: Defining a workforce that is fit for the purpose","Critical Public Health","","0958-1596","10.1080/09581590310001647524","","Recent UK government policy calls for a strong public health function within health and local authority services. The recent restructuring of the National Health Service has drastically changed the organizational structure of Public Health, and has resulted in concerns over the capacity and capabilities of the specialist public health workforce. This paper presents findings from the first phase of a study assessing the capacity and development needs of specialists in public health. Face-to-face semi-structured interviews were conducted with a purposive sample of key public health informants. Four key themes were identified. First, interviewees noted the lack of clarity encompassing the term 'specialist in public health' and the consequent confusion regarding the role of a specialist and the public health function. Second, concern was expressed over the recent fragmentation of the workforce, the loss of critical mass and the potential for professional isolation. This was seen as particularly worrisome in light of a growing public heath agenda. Third, respondents identified key skills gaps within the workforce such as health protection, partnership working and leadership. Last, inadequacies and regional inequities in training and continuing professional development were identified, with interviewees calling for these issues to be addressed immediately. Capacity and skills gaps in the specialist public health workforce are evident and exacerbated by the confusion surrounding the definition of a specialist and, hence, individual roles and responsibilities. The ability of the public health workforce to meet the growing public heath agenda will be dependent on the success of various new mechanisms for joint working, capacity building, and skill enhancement. © 2004 Taylor & Francis Ltd.","2004","2023-01-17 12:05:37","2023-01-17 12:05:37","","17-26","","1","14","","","Public health capacity in the new primary care organizations","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\Papa ours\Zotero\storage\H2PUGX6W\display.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Q7GXVAA","journalArticle","2022","Chatelan, Angeline; Khalatbari-Soltani, Saman","Evaluating and rethinking public health for the 21st century: Toward vulnerable population interventions","Frontiers in Public Health","","2296-2565","10.3389/fpubh.2022.1033270","","","2022","2023-01-17 12:05:37","2023-01-17 12:05:37","","1033270","","","10","","Front Public Health","Evaluating and rethinking public health for the 21st century","","","","","","","eng","","","","","PubMed","","PMID: 36388343 PMCID: PMC9650281","","; C:\Users\Papa ours\Zotero\storage\ELYUP3IL\Chatelan et Khalatbari-Soltani - 2022 - Evaluating and rethinking public health for the 21.pdf","http://www.ncbi.nlm.nih.gov/pubmed/36388343","","Humans; Public Health; individual-centered interventions; population-centered interventions; preventive interventions; public health policy; vulnerable population interventions; Vulnerable Populations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VTMTI7L","journalArticle","2002","Choi, B. C. K.; Pak, A. W. P.; Ottoson, J. M.","Understanding the basic concepts of public health surveillance","Journal of Epidemiology and Community Health","","0143-005X","10.1136/jech.56.6.402","","","2002-06","2023-01-17 12:05:37","2023-01-17 12:05:37","","402","","6","56","","J Epidemiol Community Health","","","","","","","","eng","","","","","PubMed","","PMID: 12011189 PMCID: PMC1732170","","; C:\Users\Papa ours\Zotero\storage\B23AEF43\Choi et al. - 2002 - Understanding the basic concepts of public health .pdf","http://www.ncbi.nlm.nih.gov/pubmed/12011189","","Humans; Population Surveillance; Data Collection; Data Interpretation, Statistical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T4C7B8IB","journalArticle","2012","Choi, Bernard C. K.","The past, present, and future of public health surveillance","Scientifica","","2090-908X","10.6064/2012/875253","","This paper provides a review of the past, present, and future of public health surveillance-the ongoing systematic collection, analysis, interpretation, and dissemination of health data for the planning, implementation, and evaluation of public health action. Public health surveillance dates back to the first recorded epidemic in 3180 B.C. in Egypt. Hippocrates (460 B.C.-370 B.C.) coined the terms endemic and epidemic, John Graunt (1620-1674) introduced systematic data analysis, Samuel Pepys (1633-1703) started epidemic field investigation, William Farr (1807-1883) founded the modern concept of surveillance, John Snow (1813-1858) linked data to intervention, and Alexander Langmuir (1910-1993) gave the first comprehensive definition of surveillance. Current theories, principles, and practice of public health surveillance are summarized. A number of surveillance dichotomies, such as epidemiologic surveillance versus public health surveillance, are described. Some future scenarios are presented, while current activities that can affect the future are summarized: exploring new frontiers; enhancing computer technology; improving epidemic investigations; improving data collection, analysis, dissemination, and use; building on lessons from the past; building capacity; enhancing global surveillance. It is concluded that learning from the past, reflecting on the present, and planning for the future can further enhance public health surveillance.","2012","2023-01-17 12:05:37","2023-01-17 23:10:55","","875253","","","2012","","Scientifica (Cairo)","","","","","","","","eng","","","","","PubMed","","PMID: 24278752 PMCID: PMC3820481","","; C:\Users\Papa ours\Zotero\storage\SEYRT9QY\Choi - 2012 - The past, present, and future of public health sur.pdf","http://www.ncbi.nlm.nih.gov/pubmed/24278752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAI7U5XU","journalArticle","2021","Choi, Bernard C. K.; Pakes, Barry; Bilotta, Rose; Graham, Kathryn; Gupta, Neeru; King, Arlene S.; Dimaras, Helen; Xiaolin Wei; Gibson, Brian; Reynolds, Donna L.; Morris, Shaun K.; Selby, Peter; Harvey, Bart J.; Fox, Ann L.; Rachlis, Beth; Bhuiyan, Shafi; Nnorom, Onye; Upshur, Ross; Choi, Bernard; Wei, Xiaolin","Defining Clinical Public Health","Clinical & Investigative Medicine","","0147-958X","10.25011/cim.v44i2.36479","","Purpose: To solve complex health issues, an innovative and multidisciplinary framework is necessary. The Clinical Public Health (CPH) Division was established at the University of Toronto (UofT), Canada to foster inte-gration of primary care, preventive medicine and public health in education, practice and research. To better understand how the construct of CPH might be applied, we surveyed clinicians, researchers and public health professionals affiliated with the CPH Division to assess their understanding of the CPH concept and its utility in fostering broad collaboration.Methods: A two-wave anonymous survey of the active faculty of the CPH Division, UofT was conducted across Canada. Wave 1 participants (n = 187; 2016) were asked to define CPH, while Wave 2 participants (n = 192; 2017) were provided a synthesis of Wave 1 results and asked to rank each definition. Both waves were asked about the need for a common definition, and to comment on CPH.Results: Response rates for the first and second waves were 25% and 22%, respectively. Of the six definitions of CPH from Wave 1, ""the intersection of clinical practice and public health,"" was most highly ranked by Wave 2 participants. Positive perceptions of CPH included multidisciplinary collaboration, new fields and insights, forward thinking and innovation. Negative perceptions included CPH being a confusing term, too narrow in scope or too clinical.Conclusion: The concept of Clinical Public Health can foster multidisciplinary collaboration to address com-plex health issues because it provides a useful framework for bringing together key disciplines and diverse professional specialties.","2021-06","2023-01-17 12:05:37","2023-01-17 23:17:34","","E71-E76","","2","44","","CLIN INVEST MED","","","","","","","","","","","","","EBSCOhost","","Place: Ottawa, Ontario Publisher: Canadian Society for Clinical Investigation","","; ; C:\Users\Papa ours\Zotero\storage\87WWASKU\display.html; C:\Users\Papa ours\Zotero\storage\W2AIB3J5\Choi et al. - 2021 - Defining Clinical Public Health.pdf","https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=151054848&lang=fr&site=ehost-live&scope=cite; http://www.ncbi.nlm.nih.gov/pubmed/34152710","","Humans; Public Health; Canada; Scales; clinical practice; clinical public health; consensus definition; multidisciplinary collaboration; public health practice; Surveys and Questionnaires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWRYM3ZP","journalArticle","2010","Zeng, Guang; Huang, Jian-shi","[Understanding the definition and the mission of public health correctly]","Zhonghua Yi Xue Za Zhi","","0376-2491","","","","2010-02-09","2023-01-17 12:05:13","2023-01-17 12:05:36","","367-370","","6","90","","Zhonghua Yi Xue Za Zhi","","","","","","","","chi","","","","","PubMed","","PMID: 20367930","","","http://www.ncbi.nlm.nih.gov/pubmed/20367930","","Public Health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFCP6LZ9","journalArticle","2017","Chughtai, Saad; Blanchet, Karl","Systems thinking in public health: a bibliographic contribution to a meta-narrative review","Health Policy and Planning","","1460-2237","10.1093/heapol/czw159","","BACKGROUND: Research across the formal, natural and social sciences has greatly expanded our knowledge about complex systems in recent decades, informing a broadly inclusive, cross-disciplinary conceptual framework referred to as Systems Thinking (ST). Its use in public health is rapidly increasing, although there remains a poor understanding of how these ideas have been imported, adapted and elaborated by public health research networks worldwide. METHOD: This review employed a mixed methods approach to narrate the development of ST in public health. Tabulated results from a literature search of the Web of Science Core Collection database were used to perform a bibliometric analysis and literature review. Annual publication counts and citation scores were used to analyse trends and identify popular and potential 'landmark' publications. Citation network and co-authorship network diagrams were analysed to identify groups of articles and researchers in various network roles. RESULTS: Our search string related to 763 publications. Filtering excluded 208 publications while citation tracing identified 2 texts. The final 557 publications were analysed, revealing a near-exponential growth in literature over recent years. Half of all articles were published after 2010 with almost a fifth (17.8%) published in 2014. Bibliographic analysis identified five distinct citation and co-authorship groups homophilous by common geography, research focus, inspiration or institutional affiliation. As a loosely related set of sciences, many public health researchers have developed different aspects of ST based on their underlying perspective. Early studies were inspired by Management-related literature, while later groups adopted a broadly inclusive understanding which incorporated related Systems sciences and approaches. CONCLUSION: ST is an increasingly popular subject of discussion within public health although its understanding and approaches remain unclear. Briefly tracing the introduction and development of these ideas and author groups in public health literature may provide clarity and opportunities for further learning, research and development.","2017-05-01","2023-01-17 12:05:29","2023-01-17 23:11:32","","585-594","","4","32","","Health Policy Plan","Systems thinking in public health","","","","","","","eng","","","","","PubMed","","PMID: 28062516","","; C:\Users\Papa ours\Zotero\storage\F3XKYP3R\Chughtai et Blanchet - 2017 - Systems thinking in public health a bibliographic.pdf","http://www.ncbi.nlm.nih.gov/pubmed/28062516","","Humans; Global Health; Public Health; Public health; Health Services Research; public health; Health systems; Health systems research; Social sciences; Systems thinking; Bibliometrics; health systems research; social sciences; Systems Analysis; systems thinking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJSMKGVT","journalArticle","2014","Cohen, Deborah; Huynh, Tai; Sebold, Anne; Harvey, Jean; Neudorf, Cory; Brown, Adalsteinn","The population health approach: A qualitative study of conceptual and operational definitions for leaders in Canadian healthcare","SAGE open medicine","","2050-3121","10.1177/2050312114522618","","OBJECTIVES: The population health approach is increasingly recognized for its role in health system reform; however, its broad scope and definition have been criticized for being a barrier to clear communication. This qualitative study examined the way senior healthcare leaders in Canada conceptualize and operationalize the population health approach in planning and decision-making. FINDINGS: Core elements of the population health approach included focusing on health and wellness rather than illness, taking a population rather than individual orientation, understanding needs and solutions through community outreach, addressing health disparities/health in vulnerable groups, addressing the social determinants of health and inter-sectoral action and partnerships. CONCLUSION: The population health approach is increasingly recognized for its role in reducing healthcare demand and contributing to health system sustainability. This study demonstrated the growing need to clarify terminology among multiform partners to establish a foundation for future healthcare integration and inter-sectoral action.","2014","2023-01-17 12:05:29","2023-01-17 12:05:29","","2050312114522618","","","2","","SAGE Open Med","The population health approach","","","","","","","eng","","","","","PubMed","","PMID: 26770704 PMCID: PMC4607218","","; C:\Users\Papa ours\Zotero\storage\B74KZADL\Cohen et al. - 2014 - The population health approach A qualitative stud.pdf","http://www.ncbi.nlm.nih.gov/pubmed/26770704","","Public health; healthcare; population health approach; qualitative study; terminology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3S86VMFS","journalArticle","2007","Cohen, M.","Containing, thinking and public health","Journal of Public Mental Health","","1746-5729","10.1108/17465729200700019","","This paper argues that the capacity of individuals and of society as a whole to ‘contain’ experience, and to use this as a basis for thought, is central to good health. The paper first defines and describes ‘containing’ and thinking, with reference to a psychoanalytic model, and compares these definitions with similar concepts. The circumstances that promote or impede the development of the capacity for thought are then outlined, and a spectrum of this capacity is described and correlated with a spectrum of vulnerability-resilience to ill health. A review of the associated literature indicates significant links to health-related behaviours, health outcomes and inequalities; interventions at a population level could aim to shift people at the vulnerable end of the spectrum towards resilience. However such measures are unlikely to be effective on their own: what is needed is a containing and thinking society, characterised by a wish to know about reality, and to link together information about the state of its citizens and the wider world. The paper concludes with a discussion of the political and policy-making implications. © 2007, Emerald Group Publishing Limited","2007","2023-01-17 12:05:29","2023-01-17 12:05:29","","40-48","","3","6","","","","","","","","","","English","","","Scopus","","Scopus","","","","","","","Public health; Containment; Health inequalities; Psychoanalysis; Thinking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VY7NZ38K","journalArticle","2004","Colin, C.","[Public health in Quebec at the dawn of the 21st century]","Sante Publique (Vandoeuvre-Les-Nancy, France)","","0995-3914","10.3917/spub.042.0185","","This paper summarises the status of public health in Quebec at the dawn of the 21st century. After introducing the current definition, the author lays out five basic functions of public health in Quebec: knowledge and surveillance of populations health and wellbeing, health protection; prevention of disease, trauma and social problems that influence health; health and wellbeing promotion; and service organization and evaluation. The organization of public health services is then described at the local level (CLSC), regional level (Public health units) and national level (Ministry, Public health directorate and National Institute of Public Health). Finally, the trends and priorities elaborated over the last ten years, as well as the National Public Health Program to be implemented over the next ten years are described.","2004-06","2023-01-17 12:05:29","2023-01-17 12:05:29","","185-195","","2","16","","Sante Publique","","","","","","","","fre","","","","","PubMed","","PMID: 15360173","","","http://www.ncbi.nlm.nih.gov/pubmed/15360173","","Humans; Public Health; Population Surveillance; Preventive Medicine; Public Health Administration; Social Conditions; Health Services Needs and Demand; Forecasting; Quebec; Wounds and Injuries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUQATG2L","journalArticle","2020","Collins, Téa; Akselrod, Svetlana; Bloomfield, Ashley; Gamkrelidze, Amiran; Jakab, Zsuzsanna; Placella, Erika","Rethinking the COVID-19 Pandemic: Back to Public Health","Annals of Global Health","","2214-9996","10.5334/aogh.3084","","The COVID-19 pandemic has highlighted vast differences across countries in their responses to the emergency and their capacities to implement public health measures that could slow the progression of the disease. As public health systems are the first line of defense during pandemics, it has become clear that sustained investment in strengthening public health infrastructure is a major need in all countries, irrespective of income levels. Drawing on the successful experiences of Switzerland, Georgia, and New Zealand in dealing with COVID-19, we suggest prioritizing core public health capacities with links to the International Health Regulations, improving international cooperation, coordination, and multisectoral action, addressing health inequities by targeting vulnerable groups, and enhancing health literacy, including through sophisticated and sustained communication campaigns to build resilience. These measures will ensure that health systems and communities will be better prepared for the disruptions that future disease outbreaks will inevitably bring.","2020-10-08","2023-01-17 12:05:29","2023-01-17 12:05:29","","133","","1","86","","Ann Glob Health","Rethinking the COVID-19 Pandemic","","","","","","","eng","","","","","PubMed","","PMID: 33102153 PMCID: PMC7546103","","; C:\Users\Papa ours\Zotero\storage\YN2X9C24\Collins et al. - 2020 - Rethinking the COVID-19 Pandemic Back to Public H.pdf","http://www.ncbi.nlm.nih.gov/pubmed/33102153","","Humans; Global Health; International Cooperation; Public Health; COVID-19; SARS-CoV-2; Pandemics; Delivery of Health Care; Communicable Disease Control; Civil Defense; Quality Improvement; Betacoronavirus; Coronavirus Infections; Intersectoral Collaboration; Pneumonia, Viral; Socioeconomic Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGLNRHUM","journalArticle","1999","Connelly, J.; Knight, T.; Cunningham, C.; Duggan, M.; McClenahan, J.","Rethinking public health: new training for new times","Journal of Management in Medicine","","0268-9235","10.1108/02689239910292927","","The new public health agenda will require major changes in the way health authorities, local authorities, Trusts and Primary Care Groups organise and manage their activities. The requirement is for inter-agency co-ordination and inter-professional and inter-sectoral working to a shared agenda, yet the human and resources development planning to achieve these goals has not been done. This paper summarises the key training issues and argues for a collaborative, decentralised and quality assured approach to multidisciplinary public health management education and training. Only with such a joined up human resources plan can Our Healthier Nation succeed where The Health of the Nation signally failed.","1999","2023-01-17 12:05:29","2023-01-17 12:05:29","","210-217","","4-5","13","","J Manag Med","Rethinking public health","","","","","","","eng","","","","","PubMed","","PMID: 10787493","","","http://www.ncbi.nlm.nih.gov/pubmed/10787493","","Humans; Public Health; United Kingdom; Health Planning; Organizational Innovation; Public Health Administration; Quality Control; State Medicine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95N4K32G","journalArticle","1991","Coste, J.; Spira, A.","[Proportion of cases attributable to public health: definition(s), estimation(s) and interpretation]","Revue D'epidemiologie Et De Sante Publique","","0398-7620","","","","1991","2023-01-17 12:05:29","2023-01-17 12:05:29","","399-411","","4","39","","Rev Epidemiol Sante Publique","[Proportion of cases attributable to public health","","","","","","","fre","","","","","PubMed","","PMID: 1754705","","","http://www.ncbi.nlm.nih.gov/pubmed/1754705","","Humans; Public Health; Epidemiologic Methods; Analysis of Variance; Case-Control Studies; Causality; Morbidity; Odds Ratio; Risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKEB2EVA","journalArticle","2012","Danielsson, N.; ECDC Internal Response Team; Catchpole, M.","Novel coronavirus associated with severe respiratory disease: case definition and public health measures","Euro Surveillance: Bulletin Europeen Sur Les Maladies Transmissibles = European Communicable Disease Bulletin","","1560-7917","10.2807/ese.17.39.20282-en","","Two cases of rapidly progressive acute respiratory infection in adults associated with a novel coronavirus have generated an international public health response. The two infections were acquired three months apart, probably in Saudi Arabia and Qatar. An interim case definition has been elaborated and was published on the World Health Organization website on 25 September 2012.","2012-09-27","2023-01-17 12:05:29","2023-01-17 12:05:29","","20282","","39","17","","Euro Surveill","Novel coronavirus associated with severe respiratory disease","","","","","","","eng","","","","","PubMed","","PMID: 23041021","","; C:\Users\Papa ours\Zotero\storage\6XXUSBYC\Danielsson et al. - 2012 - Novel coronavirus associated with severe respirato.pdf","http://www.ncbi.nlm.nih.gov/pubmed/23041021","","Female; Humans; International Cooperation; Population Surveillance; Adult; Male; Middle Aged; Seasons; Communicable Disease Control; Public Health Practice; Coronavirus Infections; Coronavirus; Fatal Outcome; Polymerase Chain Reaction; Qatar; Respiratory Tract Infections; Saudi Arabia; Sequence Homology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRUT7K3H","journalArticle","2020","Contini, Carlo; Caselli, Elisabetta; Martini, Fernanda; Maritati, Martina; Torreggiani, Elena; Seraceni, Silva; Vesce, Fortunato; Perri, Paolo; Rizzo, Leonzio; Tognon, Mauro","COVID-19 Is a Multifaceted Challenging Pandemic Which Needs Urgent Public Health Interventions","Microorganisms","","2076-2607","10.3390/microorganisms8081228","","Until less than two decades ago, all known human coronaviruses (CoV) caused diseases so mild that they did not stimulate further advanced CoV research. In 2002 and following years, the scenario changed dramatically with the advent of the new more pathogenic CoVs, including Severe Acute Respiratory Syndome (SARS-CoV-1), Middle Eastern respiratory syndrome (MERS)-CoV, and the new zoonotic SARS-CoV-2, likely originated from bat species and responsible for the present coronavirus disease (COVID-19), which to date has caused 15,581,007 confirmed cases and 635,173 deaths in 208 countries, including Italy. SARS-CoV-2 transmission is mainly airborne via droplets generated by symptomatic patients, and possibly asymptomatic individuals during incubation of the disease, although for the latter, there are no certain data yet. However, research on asymptomatic viral infection is currently ongoing worldwide to elucidate the real prevalence and mortality of the disease. From a clinical point of view, COVID-19 would be defined as ""COVID Planet "" because it presents as a multifaceted disease, due to the large number of organs and tissues infected by the virus. Overall, based on the available published data, 80.9% of patients infected by SARS-CoV-2 develop a mild disease/infection, 13.8% severe pneumonia, 4.7% respiratory failure, septic shock, or multi-organ failure, and 3% of these cases are fatal, but mortality parameter is highly variable in different countries. Clinically, SARS-CoV-2 causes severe primary interstitial viral pneumonia and a ""cytokine storm syndrome"", characterized by a severe and fatal uncontrolled systemic inflammatory response triggered by the activation of interleukin 6 (IL-6) with development of endothelitis and generalized thrombosis that can lead to organ failure and death. Risk factors include advanced age and comorbidities including hypertension, diabetes, and cardiovascular disease. Virus entry occurs via binding the angiotensin-converting enzyme 2 (ACE2) receptor present in almost all tissues and organs through the Spike (S) protein. Currently, SARS-CoV-2 infection is prevented by the use of masks, social distancing, and improved hand hygiene measures. This review summarizes the current knowledge on the main biological and clinical features of the SARS-CoV-2 pandemic, also focusing on the principal measures taken in some Italian regions to face the emergency and on the most important treatments used to manage the COVID-19 pandemic.","2020-08-12","2023-01-17 12:05:29","2023-01-17 12:05:29","","1228","","8","8","","Microorganisms","","","","","","","","eng","","","","","PubMed","","PMID: 32806657 PMCID: PMC7464234","","; C:\Users\Papa ours\Zotero\storage\IAELIJGA\Contini et al. - 2020 - COVID-19 Is a Multifaceted Challenging Pandemic Wh.pdf","http://www.ncbi.nlm.nih.gov/pubmed/32806657","","COVID-19; SARS-CoV-2; COVID-19 planet; cytokine storm syndrome; endothelitis; hyperinflammation; thromboembolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82RVEBVJ","journalArticle","2020","Coronado, Fátima; Beck, Angela J.; Shah, Gulzar; Young, Jessica L.; Sellers, Katie; Leider, Jonathon P.","Understanding the Dynamics of Diversity in the Public Health Workforce","Journal of public health management and practice: JPHMP","","1550-5022","10.1097/PHH.0000000000001075","","","2020","2023-01-17 12:05:29","2023-01-17 12:05:29","","389-392","","4","26","","J Public Health Manag Pract","","","","","","","","eng","","","","","PubMed","","PMID: 31688743 PMCID: PMC7190406","","; C:\Users\Papa ours\Zotero\storage\85WU5IBB\Coronado et al. - 2020 - Understanding the Dynamics of Diversity in the Pub.pdf","http://www.ncbi.nlm.nih.gov/pubmed/31688743","","Humans; Public Health; United States; Cultural Diversity; Health Workforce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDP2EFX9","journalArticle","2021","De Cleen, Benjamin; Speed, Ewen","Getting the Problem Definition Right: The Radical Right, Populism, Nativism and Public Health Comment on ""A Scoping Review of Populist Radical Right Parties' Influence on Welfare Policy and its Implications for Population Health in Europe""","International Journal of Health Policy and Management","","2322-5939","10.34172/ijhpm.2020.143","","Building on Rinaldi and Bekker's scoping review of articles on the impact of populist radical right (PRR) politics on welfare and population health, this short article formulates three pointers towards a framework that might help structure future research into PRR, populist politics more generally, and coronavirus disease 2019 (COVID-19) and other health issues. First, we discuss the centrality of welfare chauvinism to the PRR's impact on health, taking this as a cue for a broader reflection on the importance on distinguishing between the nativist and populist dimensions of PRR politics. Secondly, we turn our attention to the potential moderating effect of the PRR's welfare chauvinism on the welfare cuts proposed by their right-wing coalition partners, comments we see as pointing to the need to focus on nativist, populist, neoliberal and other threats to welfare policy more generally, rather than on the PRR only. Thirdly, we reflect on the paradoxical nature of welfare chauvinism - its negative consequences for the health of the 'own people' it proclaims to defend - as a starting point for a brief discussion of the need to consider carefully the not-so-straightforward relation between the PRR's political rhetoric, its (impact on) policy and institutions, and the outcomes of such policy.","2021-08-01","2023-01-17 12:05:29","2023-01-17 12:05:29","","523-527","","8","10","","Int J Health Policy Manag","Getting the Problem Definition Right","","","","","","","eng","","","","","PubMed","","PMID: 32772009 PMCID: PMC9056193","","; C:\Users\Papa ours\Zotero\storage\C62N5VW7\De Cleen et Speed - 2021 - Getting the Problem Definition Right The Radical .pdf","http://www.ncbi.nlm.nih.gov/pubmed/32772009","","Humans; Europe; Public Health; Health Policy; COVID-19; SARS-CoV-2; Population Health; Politics; Nativism; Populism; Radical Right","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
