"Author","Title","DOI","citations"
"Karkee, Rajendra; Comfort, Jude; Alfonso, Helman","Defining and Developing a Global Public Health Course for Public Health Graduates","10.3389/fpubh.2015.00166","Citato da 3"
"Katz, David L.; Doughty, Kimberly N.; Geagan, Kate; Jenkins, David A.; Gardner, Christopher D.","Perspective: The Public Health Case for Modernizing the Definition of Protein Quality","10.1093/advances/nmz023","Citato da 39"
"Kee, Frank; Taylor-Robinson, David","Scientific challenges for precision public health","10.1136/jech-2019-213311","Citato da 14"
"Keller, Linda Olson; Strohschein, Susan; Lia-Hoagberg, Betty; Schaffer, Marjorie A.","Population-based public health interventions: practice-based and evidence-supported. Part I","10.1111/j.0737-1209.2004.21509.x","Citato da 165"
"Keller, Linda Olson; Strohschein, Susan; Schaffer, Marjorie A.; Lia-Hoagberg, Betty","Population-based public health interventions: innovations in practice, teaching, and management. Part II","10.1111/j.0737-1209.2004.21510.x","Citato da 41"
"Khan, Suliman; Liu, Jianbo; Xue, Mengzhou","Transmission of SARS-CoV-2, Required Developments in Research and Associated Public Health Concerns","10.3389/fmed.2020.00310","Citato da 56"
"Kindig, David A.","Understanding population health terminology","10.1111/j.1468-0009.2007.00479.x","Citato da 324"
"King, N.B.; Koski, A.","Defining global health as public health somewhere else","10.1136/bmjgh-2019-002172","Citato da 33"
"Koschollek, Carmen; Kajikhina, Katja; Bartig, Susanne; Zeisler, Marie-Luise; Schmich, Patrick; Gößwald, Antje; Rommel, Alexander; Ziese, Thomas; Hövener, Claudia","Results and Strategies for a Diversity-Oriented Public Health Monitoring in Germany","10.3390/ijerph19020798","Pas d'informations sur GS"
"Kostyak, L.; Shaw, D. M.; Elger, B.; Annaheim, B.","A means of improving public health in low- and middle-income countries? Benefits and challenges of international public-private partnerships","10.1016/j.puhe.2017.03.005","Citato da 46"
"Krieger, Nancy","Who and what is a ""population""? Historical debates, current controversies, and implications for understanding ""population health"" and rectifying health inequities","10.1111/j.1468-0009.2012.00678.x","Citato da 175"
"Krasna, Heather; Kornfeld, Julie; Cushman, Linda; Ni, Shuyue; Antoniou, Pantelis; March, Dana","The New Public Health Workforce: Employment Outcomes of Public Health Graduate Students","10.1097/PHH.0000000000000976","Citato da 15"
"Kumar, Rajesh","Redefining and redesigning public health for the future","10.4103/ijph.IJPH_185_20","Citato da 1"
"Kyriazis, Dimosthenis; Autexier, Serge; Boniface, Michael; Engen, Vegard; Jimenez-Peris, Ricardo; Jordan, Blanca; Jurak, Gregor; Kiourtis, Athanasios; Kosmidis, Thanos; Lustrek, Mitja; Maglogiannis, Ilias; Mantas, John; Martinez, Antonio; Mavrogiorgou, Argyro; Menychtas, Andreas; Montandon, Lydia; Nechifor, Cosmin-Septimiu; Nifakos, Sokratis; Papageorgiou, Alexandra; Patino-Martinez, Marta; Perez, Manuel; Plagianakos, Vassilis; Stanimirovic, Dalibor; Starc, Gregor; Tomson, Tanja; Torelli, Francesco; Traver-Salcedo, Vicente; Vassilacopoulos, George; Magdalinou, Andriana; Wajid, Usman","The CrowdHEALTH project and the Hollistic Health Records: Collective Wisdom Driving Public Health Policies","10.5455/aim.2019.27.369-373","Citato da 1"
"Lee, Lisa M.; Zarowsky, Christina","Foundational values for public health","10.1186/s40985-015-0004-1","Citato da 24"
"Lenihan, Patrick; Welter, Christina; Chang, Carol; Gorenflo, Grace","The operational definition of a functional local public health agency: the next strategic step in the quest for identity and relevance","10.1097/01.PHH.0000278028.33949.68","Citato da 17"
"Laverack G","Influencing public health policy: to what extent can public action defining the policy concerns of government?","10.1007/s10389-009-0274-5","Citato da 13"
"Leischow, S.J.; Best, A.; Trochim, W.M.; Clark, P.I.; Gallagher, R.S.; Marcus, S.E.; Matthews, E.","Systems Thinking to Improve the Public's Health","10.1016/j.amepre.2008.05.014","Citato da 432"
"Leviton, Laura C.","Generalizing about Public Health Interventions: A Mixed-Methods Approach to External Validity","10.1146/annurev-publhealth-031816-044509","Citato da 919"
"Lewis, Jenny M.","Understanding policy influence and the public health agenda","10.1071/NB08063","Citato da 14"
"Lollar, Donald J.; Crews, John E.","Redefining the role of public health in disability","10.1146/annurev.publhealth.24.100901.140844","Citato da 218"
"Longstreth, J.","Public health consequences of global climate change in the United States--some regions may suffer disproportionately","10.1289/ehp.99107s1169","Citato da 49"
"Maaß, Laura; Freye, Merle; Pan, Chen-Chia; Dassow, Hans-Henrik; Niess, Jasmin; Jahnel, Tina","The Definitions of Health Apps and Medical Apps From the Perspective of Public Health and Law: Qualitative Analysis of an Interdisciplinary Literature Overview","10.2196/37980","Pas d'informations sur GS"
"MacQueen, K. M.; McLellan, E.; Metzger, D. S.; Kegeles, S.; Strauss, R. P.; Scotti, R.; Blanchard, L.; Trotter, R. T.","What is community? An evidence-based definition for participatory public health","10.2105/ajph.91.12.1929","Citato da 3"
"Malla, Catherine; Aylward, Paul; Ward, Paul","Knowledge translation for public health in low- and middle- income countries: a critical interpretive synthesis","10.1186/s41256-018-0084-9","Citato da 51"
"Målqvist, Mats","Beyond global health: Redefining the 'public' in public health","10.1177/14034948221109712","Citato da 1"
"Martin-Moreno, Jose M.; Harris, Meggan; Jakubowski, Elke; Kluge, Hans","Defining and Assessing Public Health Functions: A Global Analysis","10.1146/annurev-publhealth-032315-021429","Citato da 51"
"Mason, Marlene J.; Moran, John W.","Understanding and controlling variation in public health","10.1097/PHH.0b013e318233d5eb","Citato da 6"
"McLaren, Lindsay; Dutton, Daniel J.","The social determinants of pandemic impact: an opportunity to rethink what we mean by ""public health spending""","10.17269/s41997-020-00395-2","Citato da 7"
"McLees, Anita W.; Nawaz, Saira; Thomas, Craig; Young, Andrea","Defining and assessing quality improvement outcomes: a framework for public health","10.2105/AJPH.2014.302533","Citato da 33"
"McNeil, Deborah A.; Flynn, Mary A. T.","Methods of defining best practice for population health approaches with obesity prevention as an example","10.1017/s0029665106005209","Citato da 34"
"Meslin, F. X.; Stöhr, K.; Heymann, D.","Public health implications of emerging zoonoses","10.20506/rst.19.1.1214","Citato da 3"
"Michener, Lloyd; Bradley, Don; Martinez-Bianchi, Viviana; Andolsek, Kathryn M.","""Family Medicine's Task in Population Health: Defining It and Owning It"" Begins With the Community","10.22454/FamMed.2019.592951","Citato da 3"
"Minlikeeva, Albina N.; Amato, Katharine A.; Przybyla, Sarahmona M.","Modern public pealth problems and solutions: An undergraduate capstone course to prepare the next generation of public health practitioners to enhance health equity","10.3389/fpubh.2022.992835","Pas d'informations sur GS"
"Mohiddin, A.; Duggan, M.; Marsh, S.; Dodhia, H.; Oki, B.; Corlett, S.","The use of future scenario thinking for child public health in a local authority","10.1093/pubmed/fdaa130","Citato da 4"
"Murphy, Louise B.; Cisternas, Miriam G.; Greenlund, Kurt J.; Giles, Wayne; Hannan, Casey; Helmick, Charles G.","Defining Arthritis for Public Health Surveillance: Methods and Estimates in Four US Population Health Surveys","10.1002/acr.22943","Citato da 28"
"Navarro, V.","From public health to health of the public: the redefinition of our task","10.2105/ajph.64.6.538","Citato da 12"
"Nittas, Vasileios; Gao, Manqi; West, Erin A.; Ballouz, Tala; Menges, Dominik; Wulf Hanson, Sarah; Puhan, Milo Alan","Long COVID Through a Public Health Lens: An Umbrella Review","10.3389/phrs.2022.1604501","Citato da 29"
"Nelson, Christopher; Lurie, Nicole; Wasserman, Jeffrey; Zakowski, Sarah","Conceptualizing and defining public health emergency preparedness","10.2105/AJPH.2007.114496","Citato da 367"
"","Public Health in Deutschland: Versuch einer Standortbestimmung","10.1515/pubhef-2006-2262","Pas d'informations sur GS"
"Abramson, David M.; Morse, Stephen S.; Garrett, Andrew L.; Redlener, Irwin","Public Health Disaster Research: Surveying the Field, Defining Its Future","10.1097/DMP.0b013e318065b7e1","Citato da 41"
